City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Kununurra,AU,2022-07-12 20:43:46,-15.7667,128.7333,62.58,20,2,13.8
273,Xiongzhou,CN,2022-07-12 20:43:46,25.1167,114.3,76.53,86,38,3.42
274,Maturin,VE,2022-07-12 20:43:47,9.75,-63.1767,79.21,86,95,9.1
275,Arman,RU,2022-07-12 20:43:47,59.7,150.1667,61.23,94,99,2.55
276,Katherine,AU,2022-07-12 20:43:47,-14.4667,132.2667,46.72,57,10,8.05
277,Karratha,AU,2022-07-12 20:41:52,-20.7377,116.8463,63.82,51,0,9.98
278,Awbari,LY,2022-07-12 20:44:48,26.5921,12.7805,87.4,24,0,11.05
279,Cariamanga,EC,2022-07-12 20:44:48,-4.3333,-79.55,70.57,72,94,5.23
280,Deputatskiy,RU,2022-07-12 20:40:43,69.3,139.9,58.08,68,94,1.19
281,Faro,PT,2022-07-12 20:40:41,37.0194,-7.9322,83.98,42,0,9.22
282,Ponta Delgada,PT,2022-07-12 20:44:49,37.7333,-25.6667,74.5,83,75,13.8
283,Ostrovnoy,RU,2022-07-12 20:44:49,68.0531,39.5131,57.16,97,100,4.88
284,Diego De Almagro,CL,2022-07-12 20:44:50,-26.3667,-70.05,69.19,15,0,7.96
285,Kirillov,RU,2022-07-12 20:44:50,59.863,38.3813,61.7,97,48,5.53
286,Te Anau,NZ,2022-07-12 20:44:50,-45.4167,167.7167,38.44,99,100,2.59
287,Lavrentiya,RU,2022-07-12 20:44:51,65.5833,-171.0,50.49,75,97,6.26
288,Goderich,CA,2022-07-12 20:40:40,43.7501,-81.7165,73.72,64,30,9.22
289,Acapulco,MX,2022-07-12 20:40:28,16.8634,-99.8901,85.82,74,75,10.36
290,Zhoucheng,CN,2022-07-12 20:44:51,35.9122,116.3117,72.19,94,87,3.65
291,Fare,PF,2022-07-12 20:44:52,-16.7,-151.0167,78.12,69,5,9.22
292,Kalmunai,LK,2022-07-12 20:44:52,7.4167,81.8167,77.67,66,39,6.4
293,Lodja,CD,2022-07-12 20:41:59,-3.4833,23.4333,75.38,39,79,1.12
294,Graciano Sanchez,MX,2022-07-12 20:44:52,23.9167,-99.2833,101.97,26,99,12.35
